iIdx,jIdx,sim
9547,9112,0.059072
9547,16062,0.055556
9547,4113,0.055427
9547,7248,0.055000
9547,8994,0.054902
9547,4082,0.054217
1533,3088,0.058279
1533,2972,0.057903
1533,6518,0.055914
1533,3879,0.052108
1533,2552,0.049575
1533,3427,0.048939
1533,1884,0.048341
1533,3500,0.048177
1533,7694,0.048046
1533,3455,0.047210
1533,6213,0.047112
1533,3341,0.047030
1533,4278,0.046767
1533,1932,0.046082
1533,1872,0.045938
1533,5267,0.045845
1533,7733,0.045830
1533,4532,0.045532
1533,3489,0.045424
1533,1832,0.045362
4191,5259,0.111825
4191,6308,0.092246
4191,7270,0.090418
4191,6625,0.087782
4191,4394,0.087143
4191,1730,0.085926
4191,7720,0.083123
4191,4768,0.081193
4191,9039,0.079515
4191,7913,0.077793
4191,7682,0.071926
4191,5405,0.070475
4191,3990,0.067317
4191,7042,0.066882
4191,5078,0.066667
4191,4542,0.065982
4191,4769,0.065606
4191,13220,0.065089
4191,10378,0.065041
4191,11417,0.064465
8164,8282,0.093985
8164,8059,0.090909
8164,7973,0.083832
8164,8363,0.081633
8164,8433,0.080808
8164,8272,0.079755
8164,8370,0.078652
8164,7942,0.077381
8164,7997,0.073964
8164,7923,0.073733
8164,8456,0.073620
8164,14595,0.073593
8164,8084,0.073171
8164,8262,0.072727
8164,8546,0.071795
8164,8000,0.071713
8164,5030,0.070352
8164,8121,0.070270
8164,8060,0.070175
8164,8150,0.070175
4301,6808,0.172973
4301,6642,0.142857
4301,10501,0.132420
4301,16079,0.132075
4301,10449,0.127778
4301,17700,0.125926
4301,14977,0.125506
4301,21746,0.123188
4301,14005,0.122449
4301,10505,0.120370
4301,10551,0.120219
4301,13154,0.112500
4301,17314,0.111111
4301,12764,0.111111
4301,14382,0.111111
4301,17038,0.109244
4301,14931,0.108374
4301,6763,0.104730
4301,12160,0.104247
4301,10421,0.102389
25013,31164,0.307692
25013,22395,0.307692
25013,30628,0.230769
25013,29918,0.230769
25013,20085,0.187500
25013,21754,0.120000
25013,25008,0.120000
25013,14023,0.114286
25013,19566,0.107143
25013,17700,0.093023
25013,13985,0.093023
25013,14804,0.090909
25013,14976,0.088235
25013,14378,0.086207
25013,25133,0.085714
25013,15043,0.081081
25013,20442,0.081081
25013,14752,0.080460
25013,20227,0.076923
25013,25018,0.076923
31303,31285,0.375000
31303,31290,0.250000
31303,20104,0.066667
31303,11788,0.061538
31303,17770,0.048387
31303,15135,0.039474
31303,15137,0.022556
31303,15130,0.021898
31303,3010,0.004405
31303,5879,0.003968
31303,1851,0.003652
31303,1781,0.002737
31303,5040,0.002477
31303,4922,0.001904
31303,717,0.001564
31303,5272,0.001453
31303,817,0.001228
31303,3017,0.001120
31303,609,0.001020
31303,4308,0.000976
7066,7080,0.109890
7066,7605,0.108624
7066,5640,0.095296
7066,4699,0.093770
7066,4724,0.088427
7066,7646,0.088409
7066,7610,0.087057
7066,6054,0.086022
7066,7518,0.083793
7066,9316,0.080530
7066,7576,0.080357
7066,4687,0.077561
7066,4572,0.077189
7066,3730,0.075257
7066,7618,0.075239
7066,6471,0.074561
7066,4726,0.073457
7066,4554,0.073183
7066,7543,0.071313
7066,4721,0.070423
27272,30699,0.500000
27272,24491,0.272727
27272,29078,0.272727
27272,27257,0.266667
27272,31716,0.230769
27272,24517,0.230769
27272,30717,0.230769
27272,30034,0.222222
27272,24492,0.214286
27272,31855,0.200000
27272,26012,0.187500
27272,26215,0.181818
27272,31819,0.157895
27272,24534,0.148148
27272,27430,0.142857
27272,25443,0.142857
27272,24907,0.111111
27272,22069,0.061538
27272,20532,0.060241
27272,9488,0.036697
8761,9200,0.129450
8761,7260,0.101064
8761,6629,0.097345
8761,14803,0.097297
8761,9070,0.096096
8761,2371,0.094955
8761,19000,0.093023
8761,9127,0.091981
8761,9160,0.089474
8761,9117,0.088710
8761,7224,0.087248
8761,14791,0.086455
8761,9087,0.085616
8761,7257,0.085271
8761,14895,0.084211
8761,9217,0.084034
8761,14827,0.083333
8761,7156,0.082935
8761,18767,0.081633
8761,14864,0.080808
19814,13503,0.238095
19814,22794,0.227273
19814,10821,0.225806
19814,22782,0.200000
19814,24406,0.187500
19814,19846,0.181818
19814,23663,0.166667
19814,19780,0.166667
19814,26251,0.166667
19814,32480,0.166667
19814,17354,0.166667
19814,31252,0.166667
19814,31132,0.157895
19814,20665,0.157895
19814,24541,0.157895
19814,24586,0.157895
19814,19797,0.157895
19814,19776,0.157895
19814,23892,0.153846
19814,19754,0.153846
4261,3676,0.205365
4261,3671,0.163646
4261,3296,0.154136
4261,3015,0.129888
4261,3673,0.128685
4261,4542,0.117229
4261,4280,0.116674
4261,9862,0.114976
4261,3754,0.111746
4261,3303,0.110689
4261,3753,0.109751
4261,472,0.103127
4261,3017,0.102969
4261,2395,0.097630
4261,3308,0.097279
4261,5536,0.097168
4261,1804,0.096621
4261,11206,0.095802
4261,4962,0.095043
4261,2361,0.093140
16959,16958,0.625000
16959,13318,0.258065
16959,16963,0.222222
16959,13309,0.212121
16959,19433,0.181818
16959,11581,0.178571
16959,17000,0.176471
16959,7538,0.175000
16959,5632,0.173913
16959,29623,0.166667
16959,7412,0.161290
16959,11577,0.159420
16959,16970,0.157895
16959,13331,0.152174
16959,14355,0.151515
16959,11644,0.142857
16959,13329,0.137931
16959,16931,0.137255
16959,7482,0.131579
16959,7347,0.127273
19013,26749,0.178571
19013,25580,0.142857
19013,26389,0.137931
19013,22183,0.133333
19013,29643,0.129032
19013,26430,0.129032
19013,24321,0.125000
19013,24328,0.125000
19013,26751,0.125000
19013,25887,0.120000
19013,24253,0.119048
19013,26648,0.117647
19013,19986,0.114286
19013,23689,0.111111
19013,26762,0.111111
19013,30756,0.111111
19013,26415,0.111111
19013,26597,0.111111
19013,22832,0.108696
19013,26757,0.108108
32397,27038,0.120000
32397,20705,0.111111
32397,22378,0.050847
32397,15477,0.024793
32397,6884,0.013636
32397,5555,0.010490
32397,11081,0.009585
32397,6441,0.009146
32397,12470,0.007958
32397,2059,0.007916
32397,5999,0.007177
32397,3777,0.006787
32397,3917,0.006479
32397,3596,0.006160
32397,8771,0.006110
32397,3603,0.006079
32397,2396,0.005894
32397,9623,0.005282
32397,5285,0.005226
32397,7053,0.005034
32060,20105,0.030303
32060,13557,0.022727
32060,15115,0.020690
32060,12891,0.019868
32060,7670,0.012295
32060,9324,0.010949
32060,6594,0.008955
32060,12470,0.007958
32060,11254,0.007937
32060,4048,0.005405
32060,9129,0.004754
32060,9882,0.004231
32060,6384,0.004098
32060,6990,0.004054
32060,3309,0.003610
32060,2710,0.002646
32060,5773,0.002212
32060,4261,0.002182
32060,4767,0.002158
32060,3531,0.001988
25673,25670,0.214286
25673,25681,0.200000
25673,25679,0.136364
25673,10869,0.125000
25673,17111,0.120000
25673,10921,0.096774
25673,15633,0.096774
25673,15723,0.081081
25673,15248,0.076923
25673,22350,0.075000
25673,17172,0.064516
25673,22303,0.057971
25673,10788,0.056604
25673,5471,0.054795
25673,18356,0.053571
25673,12231,0.052632
25673,12713,0.041667
25673,15676,0.041667
25673,17778,0.039474
25673,8433,0.038462
28877,29948,0.187500
28877,22498,0.176471
28877,21772,0.166667
28877,17321,0.136364
28877,24253,0.125000
28877,20332,0.096774
28877,21678,0.093750
28877,21902,0.078947
28877,12206,0.071429
28877,12231,0.058824
28877,17331,0.054545
28877,15159,0.042857
28877,4238,0.042857
28877,18690,0.032609
28877,14944,0.030928
28877,18514,0.027273
28877,18766,0.027273
28877,12153,0.024390
28877,9835,0.021164
28877,13180,0.021127
2378,6646,0.181775
2378,4641,0.170373
2378,7303,0.166726
2378,1932,0.147338
2378,4646,0.145820
2378,402,0.138703
2378,4636,0.134980
2378,5436,0.131343
2378,4269,0.129106
2378,5773,0.125333
2378,4629,0.119304
2378,4787,0.118912
2378,4849,0.117943
2378,566,0.108880
2378,1799,0.104981
2378,4696,0.104558
2378,4669,0.104158
2378,2724,0.100686
2378,8789,0.098765
2378,6969,0.097525
27834,32684,0.363636
27834,21588,0.300000
27834,27754,0.300000
27834,32176,0.272727
27834,25403,0.272727
27834,22818,0.250000
27834,17069,0.230769
27834,27872,0.230769
27834,19846,0.214286
27834,24554,0.200000
27834,21071,0.200000
27834,14085,0.190476
27834,19873,0.187500
27834,21065,0.176471
27834,24572,0.150000
27834,25220,0.136364
27834,12175,0.125000
27834,23060,0.115385
27834,19745,0.111111
27834,18903,0.096774
20554,26720,0.277778
20554,29956,0.238095
20554,25883,0.227273
20554,27342,0.227273
20554,18376,0.181818
20554,18082,0.181818
20554,20494,0.176471
20554,20542,0.171429
20554,28541,0.166667
20554,18598,0.160000
20554,30899,0.157895
20554,32138,0.157895
20554,27359,0.157895
20554,15251,0.153846
20554,18790,0.147059
20554,20019,0.142857
